Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Amesbury Community Center,Community centres,1507 Lawrence Ave W,Toronto,M6L 1A8,37975,Square feet,100,0,279705.4208,kWh,34050.17046,Cubic meter,,,,,,,,,,,,,,,,,,,76662,16.8,,AMESC,Community Centres
NE District Office / Station #20,Ambulance stations and associated offices and facilities,2430 Lawrence Ave E,Toronto,M1P 2R5,15887,Square feet,168,0,290192.7845,kWh,33591.31771,Cubic meter,,,,,,,,,,,,,,,,,,,76256,40.6,,24LAW,Ambulance Stations
Lakeshore Assembly Hall,Cultural facilities,1 Colonel Samuel Smith Park Dr,Toronto,M8V 4B6,14596,Square feet,100,0,284264.9723,kWh,33608.60242,Cubic meter,,,,,,,,,,,,,,,,,,,76028,43.8,,LSAH,Cultural Facilities
Rockcliffe Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",301 Rockcliffe Blvd,Toronto,M6N 5G6,14047,Square feet,70,0,80195.92783,kWh,38242.92167,Cubic meter,,,,,,,,,,,,,,,,,,,75808,34.4,,ROCKY,Storage Facilities
Forest Manor Park,Other,55 Forest Manor Rd,Toronto,M2J 1M4,0,Square feet,100,0,1058403.508,kWh,15105.16667,Cubic meter,,,,,,,,,,,,,,,,,,,75119,,,FMP,Outdoor Recreational Facilities
Fire Station 114,Fire stations and associated offices and facilities,12 Canterbury Place,Toronto,M2N 6N8,8633,Square feet,168,0,210179.8126,kWh,34087.12471,Cubic meter,,,,,,,,,,,,,,,,,,,73673,66.0,,FS114,Fire Stations
Monarch Park Pool,Other,115 Felstead Ave,Toronto,M4J 1G3,0,Square feet,100,0,681235.0533,kWh,23088.37013,Cubic meter,,,,,,,,,,,,,,,,,,,73611,,,MPSP,Outdoor Recreational Facilities
Alness Service Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",21 Alness St.,Toronto,M3J 3H3,25715,Square feet,70,0,172248.3383,kWh,33409.47925,Cubic meter,,,,,,,,,,,,,,,,,,,70723,20.4,,ASY,Storage Facilities
O'Connor C.C,Community centres,1386 Victoria Park Ave,Toronto,M4A 2L8,16254,Square feet,100,0,256142.7614,kWh,31333.84816,Cubic meter,,,,,,,,,,,,,,,,,,,70491,36.1,,OCONC,Community Centres
Albion Arena,Indoor sports arenas,1501 Albion Rd,Toronto,M9V 1B2,32658,Square feet,100,0,429397.8971,kWh,27068.34672,Cubic meter,,,,,,,,,,,,,,,,,,,70053,21.9,,ALBIA,Indoor Sports Arena
31 Yorkville Ave,Parking garages,31 Yorkville Ave,Toronto,M4W 3Y8,0,Square feet,168,0,1577782.28,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,69422,,,31YORK,Parking Lots and Garages
Cedarbrae,Public libraries,545 Markham Rd,Toronto,M1H 2A2,31506,Square feet,70,0,558661.6268,kWh,23585.5259,Cubic meter,,,,,,,,,,,,,,,,,,,69158,25.6,,CED,Public Libraries
Ellesmere C.C,Community centres,20 Canadian Rd,Toronto,M1R 4B4,24402,Square feet,100,0,232134.9376,kWh,31185.1557,Cubic meter,,,,,,,,,,,,,,,,,,,69154,23.0,,ELLEC,Community Centres
St Lawrence Market North,Cultural facilities,92 Front St E,Toronto,M5E 1C4,27997,Square feet,100,0,133912.5083,kWh,33399.47059,Cubic meter,,,,,,,,,,,,,,,,,,,69017,17.4,,SLMN,Cultural Facilities
Humber Valley Golf Course,Other,240 Albion Rd.,Toronto,M9W 2P1,4327,Square feet,100,0,69501.04109,kWh,34854.28519,Cubic meter,,,,,,,,,,,,,,,,,,,68933,101.1,,HVGC,Outdoor Recreational Facilities
Fire Station 112,Fire stations and associated offices and facilities,5700 Bathurst St.,Toronto,M2R 3N4,7018,Square feet,168,0,229464.4473,kWh,30927.85976,Cubic meter,,,,,,,,,,,,,,,,,,,68550,79.2,,FS112,Fire Stations
Deer Park,Public libraries,40 St. Clair Ave. E.,Toronto,M4T 1M9,16576,Square feet,70,0,363402.9034,kWh,27526.70926,Cubic meter,,,,,,,,,,,,,,,,,,,68015,39.5,,DP,Public Libraries
Fire Station 231,Fire stations and associated offices and facilities,740 Markham Rd,Toronto,M1H 2A9,14241,Square feet,168,0,146202.1912,kWh,32479.41167,Cubic meter,,,,,,,,,,,,,,,,,,,67819,34.3,,FS231,Fire Stations
Masaryk-Cowan C.R.C,Community centres,220 Cowan Av,Toronto,M6K 2N6,32270,Square feet,100,0,325530.7049,kWh,28230.06863,Cubic meter,,,,,,,,,,,,,,,,,,,67678,19.3,,MASAC,Community Centres
Etobicoke South Office,"Administrative offices and related facilities, including municipal council chambers",779 The Queensway,Toronto,M8Z 1N4,22497,Square feet,70,0,464737.0182,kWh,24967.92447,Cubic meter,,,,,,,,,,,,,,,,,,,67638,32.4,,ESO,Administrative Offices
Dufferin Maintenance Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",75 Vanley Cres.,Toronto,M3J 2B7,31667,Square feet,70,0,320034.5374,kWh,28306.1723,Cubic meter,,,,,,,,,,,,,,,,,,,67580,19.5,,DMY,Storage Facilities
Bermondsey Transfer Station,Other,188 Bermondsey Dr.,Toronto,M4A 1Y1,48976,Square feet,70,0,1226034.723,kWh,7156.992742,Cubic meter,,,,,,,,,,,,,,,,,,,67472,26.6,,BTS,Transfer Stations
Colonel Samuel Smith Park,Other,3175 Lake Shore Blvd W.,Toronto,M8V 1L4,0,Square feet,100,0,50597.83911,kWh,34267.74554,Cubic meter,,,,,,,,,,,,,,,,,,,66992,,,CSSP,Outdoor Recreational Facilities
Fairfield Senior Centre,Indoor recreational facilities,80 Lothian Ave,Toronto,M8Z 4K5,14316,Square feet,100,0,90678.60921,kWh,33236.82002,Cubic meter,,,,,,,,,,,,,,,,,,,66807,30.8,,FAIRFC,Indoor Recreational Facilities
Dentonia Park Golf Course,Other,781 Victoria Park Ave.,Toronto,M4B 2J1,9214,Square feet,100,0,72650.34185,kWh,33049.74606,Cubic meter,,,,,,,,,,,,,,,,,,,65661,45.8,,DPGC,Outdoor Recreational Facilities
North York Central Office,"Administrative offices and related facilities, including municipal council chambers",1117 Finch Ave.W,Toronto,M3J 2P7,18934,Square feet,70,0,456832.4669,kWh,24045.99743,Cubic meter,,,,,,,,,,,,,,,,,,,65548,37.5,,NYCO,Administrative Offices
Fire Station 313,Fire stations and associated offices and facilities,441 Bloor St E 2 Fl,Toronto,M4W 1J1,12099,Square feet,168,0,142826.2286,kWh,31231.09396,Cubic meter,,,,,,,,,,,,,,,,,,,65311,39.1,,FS313,Fire Stations
Eastern District Office,"Administrative offices and related facilities, including municipal council chambers",1 Eastville Ave.,Toronto,M1M 2N5,19849,Square feet,70,0,100087.8062,kWh,31975.05005,Cubic meter,,,,,,,,,,,,,,,,,,,64837,22.0,,EDO,Administrative Offices
Gardiner Expressway,Street lighting,0 Gardiner Expressway,Toronto,M8Z 5T8,0,Square feet,70,0,1468340.114,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,64607,,,GAREW,Streetlighting
Alexandra Park,Other,275 Bathurst St,Toronto,M5T 2S4,22873,Square feet,100,0,376087.4227,kWh,25329.261,Cubic meter,,,,,,,,,,,,,,,,,,,64420,28.1,,AXP,Outdoor Recreational Facilities
Leaside,Public libraries,165 McRae Dr.,Toronto,M4G 1S8,11991,Square feet,70,0,207703.979,kWh,29005.61683,Cubic meter,,,,,,,,,,,,,,,,,,,63960,42.9,,LEA,Public Libraries
Fire Station 432,Fire stations and associated offices and facilities,155 The East Mall,Toronto,M8Z 5Y5,11765,Square feet,168,0,101174.044,kWh,31059.32727,Cubic meter,,,,,,,,,,,,,,,,,,,63154,36.5,,FS432,Fire Stations
Station #34,Ambulance stations and associated offices and facilities,674 Markham St,Toronto,M6G 2L9,13939,Square feet,168,0,60425.58968,kWh,31836.16155,Cubic meter,,,,,,,,,,,,,,,,,,,62829,28.4,,AS34,Ambulance Stations
Pine Point Arena,Indoor sports arenas,15 Grierson Rd,Toronto,M9W 3R2,32001,Square feet,100,0,491310.213,kWh,21599.6415,Cubic meter,,,,,,,,,,,,,,,,,,,62441,22.5,,PINEA,Indoor Sports Arena
S Walter Stewart,Public libraries,170 Memorial Park Dr,Toronto,M4J 2K5,25847,Square feet,70,0,409729.1358,kWh,23375.94146,Cubic meter,,,,,,,,,,,,,,,,,,,62209,25.4,,SWS,Public Libraries
37 Queen St E,Parking garages,37 Queen St E,Toronto,M5C 3G5,0,Square feet,168,0,1409655.994,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,62025,,,37QUEE,Parking Lots and Garages
West Rouge C.C,Community centres,270 Rouge Hills Dr,Toronto,M1C 2Z1,24402,Square feet,100,0,214403.9882,kWh,27706.1871,Cubic meter,,,,,,,,,,,,,,,,,,,61798,20.8,,WESRC,Community Centres
Wellesley Jarvis Office,"Administrative offices and related facilities, including municipal council chambers",111 Wellesley St.E.,Toronto,M4Y 3A7,52108,Square feet,70,0,1403434.042,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,61751,26.9,,WJO,Administrative Offices
Fire Station 333,Fire stations and associated offices and facilities,201 Front St E,Toronto,M5A 1E7,12723,Square feet,168,0,126516.7998,kWh,29672.08879,Cubic meter,,,,,,,,,,,,,,,,,,,61647,34.6,,FS333,Fire Stations
S.H Armstrong R.C,Indoor swimming pools,56 Woodfield Rd,Toronto,M4L 2W6,18277,Square feet,100,0,230815.6291,kWh,27198.17546,Cubic meter,,,,,,,,,,,,,,,,,,,61560,28.3,,SHARC,Indoor Swimming Pool
Alex Duff Pool,Other,779 Crawford S.,Toronto,M6G 3K4,0,Square feet,100,0,452648.8332,kWh,22026.12299,Cubic meter,,,,,,,,,,,,,,,,,,,61546,,,ADP,Outdoor Recreational Facilities
Fire Station 344,Fire stations and associated offices and facilities,240 Howland Ave,Toronto,M5R 3B6,11238,Square feet,168,0,70651.51936,kWh,30760.008,Cubic meter,,,,,,,,,,,,,,,,,,,61245,35.2,,FS344,Fire Stations
Jenner Jean-Marie C.C.,Community centres,48 Thorncliffe Park Dr,Toronto,M4K 1V5,13207,Square feet,100,0,129119.51,kWh,29301.90157,Cubic meter,,,,,,,,,,,,,,,,,,,61062,33.2,,JENNC,Community Centres
Lawrence Heights C.C.,Community centres,9 Replin Rd,Toronto,M6A 2M8,22152,Square feet,100,0,216730.2263,kWh,27158.81083,Cubic meter,,,,,,,,,,,,,,,,,,,60866,22.7,,LAWRC,Community Centres
Warden Hilltop C.C.,Community centres,25 Mendelssohn St,Toronto,M1L 0G8,25995,Square feet,100,0,438987.0519,kWh,21655.24435,Cubic meter,,,,,,,,,,,,,,,,,,,60244,25.7,,WARDENHILL,Community Centres
Atlantic Ave Storage Bldg,"Administrative offices and related facilities, including municipal council chambers",98 Atlantic Ave,Toronto,M6K 1X9,43002,Square feet,70,0,106317.0581,kWh,29302.95338,Cubic meter,,,,,,,,,,,,,,,,,,,60061,9.7,,AASB,Administrative Offices
Winter Maintenance Depot,"Storage facilities where equipment or vehicles are maintained, repaired or stored",8270 Sheppard Ave E,Toronto,M1B 5R4,12152,Square feet,70,0,375562.8687,kWh,23006.5625,Cubic meter,,,,,,,,,,,,,,,,,,,60007,50.9,,8270SH,Storage Facilities
Oakridge C.C,Community centres,63 Pharmacy Ave,Toronto,M1L 4S9,18600,Square feet,100,0,289073.4237,kWh,24646.4242,Cubic meter,,,,,,,,,,,,,,,,,,,59301,29.5,,OAKRC,Community Centres
Fire Station 423,Fire stations and associated offices and facilities,358 Keele St,Toronto,M6P 2K7,12335,Square feet,168,0,108021.9836,kWh,28840.91172,Cubic meter,,,,,,,,,,,,,,,,,,,59262,33.4,,FS423,Fire Stations
Armour Height C.C,Community centres,2140 Avenue Rd,Toronto,M5M 4MZ,19773,Square feet,100,0,204763.0415,kWh,26571.94008,Cubic meter,,,,,,,,,,,,,,,,,,,59231,24.5,,ARMOC,Community Centres
Keele Valley Landfill,Other,200 McNaughton Rd,Vaughan,L6A 4E2,10764,Square feet,70,0,1334258.058,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,58707,124.0,,KVL,Landfill Operations
York Mills Arena,Indoor sports arenas,2539 Bayview Ave,Toronto,M2L 1B1,23573,Square feet,100,0,402749.4873,kWh,21495.42314,Cubic meter,,,,,,,,,,,,,,,,,,,58347,26.7,,YORKA,Indoor Sports Arena
Maria A Shchuka,Public libraries,1745 Eglinton Ave W,Toronto,M6E 2H4,25475,Square feet,70,0,261050.8013,kWh,24608.01022,Cubic meter,,,,,,,,,,,,,,,,,,,57995,20.4,,MAS,Public Libraries
High Park,Other,0 Colborne Lodge Dr,Toronto,M6R 2Z3,0,Square feet,100,0,439565.6141,kWh,20389.78135,Cubic meter,,,,,,,,,,,,,,,,,,,57878,,,HIP,Outdoor Recreational Facilities
Rotherham Ave 15,Fire stations and associated offices and facilities,15 Rotherham Ave,Toronto,M6M 1L9,23002,Square feet,168,0,184520.0302,kWh,25245.98095,Cubic meter,,,,,,,,,,,,,,,,,,,55834,19.6,,RA15,Fire Stations
Falstaff C.C,Community centres,50 Falstaff Ave.,Toronto,M67 2C7,13853,Square feet,100,0,170414.9554,kWh,25567.52336,Cubic meter,,,,,,,,,,,,,,,,,,,55821,31.8,,FALSC,Community Centres
Stan Wadlow Clubhouse,Indoor recreational facilities,373 Cedarvale Ave,Toronto,M4C 4K7,10323,Square feet,100,0,89096.62003,kWh,27371.57274,Cubic meter,,,,,,,,,,,,,,,,,,,55653,36.6,,SWLC,Indoor Recreational Facilities
Property Maintenance Office,"Administrative offices and related facilities, including municipal council chambers",149 River St,Toronto,M5A 3P8,13487,Square feet,70,0,127427.1334,kWh,26395.70667,Cubic meter,,,,,,,,,,,,,,,,,,,55495,30.1,,PMO,Administrative Offices
Fire Station 145,Fire stations and associated offices and facilities,20 Beffort Rd.,Toronto,M3K 2B1,11001,Square feet,168,0,113979.8914,kWh,26668.93388,Cubic meter,,,,,,,,,,,,,,,,,,,55419,36.0,,FS145,Fire Stations
20 Saint Andrews St,Parking garages,20 Saint Andrews St,Toronto,M5T 1K6,0,Square feet,168,0,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,55412,,,20SAIN,Parking Lots and Garages
Temp - St Lawrence Market North,Cultural facilities,125 The Esplanade,Toronto,M5E 1C3,0,Square feet,100,0,132354.2245,kWh,26149.57576,Cubic meter,,,,,,,,,,,,,,,,,,,55246,,,TEMP-SLMN,Cultural Facilities
Giovanni Caboto Pool/Rink,Other,1369 St Clair Ave W,Toronto,M6E 1C5,55400,Square feet,100,0,699486.1458,kWh,12815.92473,Cubic meter,,,,,,,,,,,,,,,,,,,54999,15.1,,GVC,Outdoor Recreational Facilities
Forest Hill Memorial Arena,Indoor sports arenas,340 Chaplin Cres,Toronto,M5N 2N3,40666,Square feet,100,0,1235084.611,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,54344,30.4,,FOREA,Indoor Sports Arena
TAVIS - OSSG,Police stations and associated offices and facilities,2126 Kipling Ave,Toronto,M9W 2H3,16952,Square feet,168,0,274738.4057,kWh,22016.14571,Cubic meter,,,,,,,,,,,,,,,,,,,53699,29.9,,TAVIS,Police Stations
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,M5V 1X2,11780,Square feet,168,0,250164.1023,kWh,22362.25967,Cubic meter,,,,,,,,,,,,,,,,,,,53272,41.3,,129PET,Shelters & Housing
Fire Station 226,Fire stations and associated offices and facilities,85 Main St,Toronto,M4E 2V6,11808,Square feet,168,0,54619.31102,kWh,26739.25941,Cubic meter,,,,,,,,,,,,,,,,,,,52940,28.5,,FS226,Fire Stations
Fire Station 332,Fire stations and associated offices and facilities,260 Adelaide St W,Toronto,M5H 1X6,24865,Square feet,168,0,309734.0953,kWh,20699.27586,Cubic meter,,,,,,,,,,,,,,,,,,,52750,21.2,,FS332,Fire Stations
Dufferin Grove Park,Other,875 Dufferin St,Toronto,M6H 4J3,4682,Square feet,100,0,392502.2528,kWh,18760.38941,Cubic meter,,,,,,,,,,,,,,,,,,,52727,126.1,,DFGP,Outdoor Recreational Facilities
Fire Station 225,Fire stations and associated offices and facilities,3600 Danforth Ave,Toronto,M1N 4E9,9085,Square feet,168,0,96845.27947,kWh,25626.13582,Cubic meter,,,,,,,,,,,,,,,,,,,52695,40.4,,FS225,Fire Stations
Fire Station 426,Fire stations and associated offices and facilities,140 Lansdowne Ave,Toronto,M6K 2V9,12486,Square feet,168,0,166435.5564,kWh,23907.69902,Cubic meter,,,,,,,,,,,,,,,,,,,52509,33.5,,FS426,Fire Stations
Stanley C.C,Community centres,25 Stanley Rd,Toronto,M3N 1C2,12895,Square feet,100,0,196748.9525,kWh,23020.9675,Cubic meter,,,,,,,,,,,,,,,,,,,52167,34.1,,STANC,Community Centres
Ourland Community Ctr,Community centres,18 Ourland Ave,Toronto,M8Z 4C9,9451,Square feet,100,0,233014.2319,kWh,22031.7666,Cubic meter,,,,,,,,,,,,,,,,,,,51893,49.3,,OURLC,Community Centres
Fire Services - East Command Offices,"Administrative offices and related facilities, including municipal council chambers",3 Dohme Ave,Toronto,M4B 1Y8,25898,Square feet,70,0,298158.0058,kWh,20492,Cubic meter,,,,,,,,,,,,,,,,,,,51849,19.9,,DA3,Administrative Offices
Fire Station 341,Fire stations and associated offices and facilities,555 Oakwood Ave,Toronto,M6E 2X4,9268,Square feet,168,0,78439.13296,kWh,25531.08059,Cubic meter,,,,,,,,,,,,,,,,,,,51705,37.5,,FS341,Fire Stations
Flemingdon C.C,Community centres,150 Grenoble Dr,Toronto,M3C 3E7,10000,Square feet,100,0,88718.9363,kWh,25230.38158,Cubic meter,,,,,,,,,,,,,,,,,,,51589,35.5,,FLEMC,Community Centres
Rotary Pool (outdoor),Other,25 Eleventh St,Toronto,M8V 3G2,3477,Square feet,100,0,33854.92008,kWh,26492,Cubic meter,,,,,,,,,,,,,,,,,,,51559,90.2,,RTP,Outdoor Recreational Facilities
Fire Station 221,Fire stations and associated offices and facilities,2575 Eglinton Ave E,Toronto,M1K 2R8,11916,Square feet,168,0,155280.0825,kWh,23597.47831,Cubic meter,,,,,,,,,,,,,,,,,,,51432,33.9,,FS221,Fire Stations
Eglinton Flats Sport Pavilions,Other,3601 Eglinton Ave. W.,Toronto,M6M 1V7,5683,Square feet,100,0,707970.2895,kWh,10645.57198,Cubic meter,,,,,,,,,,,,,,,,,,,51271,144.4,,EFSP,Outdoor Recreational Facilities
#55 Police Division,Police stations and associated offices and facilities,101 Coxwell Ave,Toronto,M4L 3B3,23519,Square feet,168,0,582342.9419,kWh,13505.22094,Cubic meter,,,,,,,,,,,,,,,,,,,51148,30.8,,55PD,Police Stations
Parks Various Locations,Other,Various Locations,Toronto,M5V 3C6,0,Square feet,100,0,1157941.031,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,50949,,,PKLOC,Outdoor Recreational Facilities
Fire Station 135 - OLD,Fire stations and associated offices and facilities,641 Eglinton Ave W,Toronto,M5N 1C5,10592,Square feet,168,0,99277.92907,kWh,24629.51286,Cubic meter,,,,,,,,,,,,,,,,,,,50918,33.9,,FS135,Fire Stations
Fire Station 315,Fire stations and associated offices and facilities,132 Bellevue Av,Toronto,M5T 2N9,7244,Square feet,168,0,104594.4447,kWh,24364.87576,Cubic meter,,,,,,,,,,,,,,,,,,,50652,49.9,,FS315,Fire Stations
Broadlands R.C & A.I.R,Indoor recreational facilities,19 Castlegrove Blvd,Toronto,M3A 1K9,10667,Square feet,100,0,383791.9583,kWh,17668.51181,Cubic meter,,,,,,,,,,,,,,,,,,,50280,53.5,,BROAC,Indoor Recreational Facilities
Todmorden Mills Butler Building,Indoor recreational facilities,67 Pottery Rd,Toronto,M4K 2B9,17707,Square feet,100,0,314018.5382,kWh,19241.04234,Cubic meter,,,,,,,,,,,,,,,,,,,50182,29.2,,TODM,Indoor Recreational Facilities
Fire Station 111,Fire stations and associated offices and facilities,3300 Bayview Ave.,Toronto,M2M 3R7,5662,Square feet,168,0,116002.9791,kWh,23831.74547,Cubic meter,,,,,,,,,,,,,,,,,,,50146,64.9,,FS111,Fire Stations
Sanderson,Public libraries,327 Bathurst St,Toronto,M5T 1J1,12701,Square feet,70,0,170514.139,kWh,22519.69194,Cubic meter,,,,,,,,,,,,,,,,,,,50065,32.1,,SA,Public Libraries
Fire Station 334,Fire stations and associated offices and facilities,339 Queens Quay West,Toronto,M5V 1A2,13003,Square feet,168,0,335753.1661,kWh,18622.64879,Cubic meter,,,,,,,,,,,,,,,,,,,49970,40.9,,FS334,Fire Stations
Jesse Ketchum Childcare Centre,Other,7 Berryman St,Toronto,M5R 1M7,11550,Square feet,100,0,24857.6433,kWh,25805.51133,Cubic meter,,,,,,,,,,,,,,,,,,,49866,25.7,,JKCC,Child Care Facilities
Yorkville,Public libraries,22 Yorkville Ave.,Toronto,M4W 1L4,9052,Square feet,70,0,199864.4739,kWh,21707.78905,Cubic meter,,,,,,,,,,,,,,,,,,,49822,47.4,,YO,Public Libraries
Fire Station 116,Fire stations and associated offices and facilities,2755A Old Leslie St.,Toronto,M2K 3A6,11776,Square feet,168,0,185736.0593,kWh,22033.04,Cubic meter,,,,,,,,,,,,,,,,,,,49815,35.5,,FS116,Fire Stations
Detective Services Building,Police stations and associated offices and facilities,160-180 Duncan Mill Rd,Toronto,M3B 1Z3,24000,Square feet,168,0,404309.8378,kWh,16926.02411,Cubic meter,,,,,,,,,,,,,,,,,,,49780,24.3,,DCM160,Police Stations
Fire Station 331,Fire stations and associated offices and facilities,31 Claremont St,Toronto,M6J 2M3,10979,Square feet,168,0,91065.94515,kWh,23965.1642,Cubic meter,,,,,,,,,,,,,,,,,,,49301,31.3,,FS331,Fire Stations
Mimico,Public libraries,47 Station Rd,Toronto,M6E 2H4,17470,Square feet,70,0,94434.20073,kWh,23654.36545,Cubic meter,,,,,,,,,,,,,,,,,,,48862,19.7,,MI,Public Libraries
Fire Station 421,Fire stations and associated offices and facilities,6 Lambton Ave,Toronto,M6N 2S1,9461,Square feet,168,0,115454.4474,kWh,22918.01956,Cubic meter,,,,,,,,,,,,,,,,,,,48395,37.8,,FS421,Fire Stations
Fire Station 321,Fire stations and associated offices and facilities,231 McCrae Ave,Toronto,M4G 1T6,7535,Square feet,168,0,104360.4396,kWh,23139.66799,Cubic meter,,,,,,,,,,,,,,,,,,,48326,46.3,,FS321,Fire Stations
Nashdene Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",70 NASHDENE,Scarborough,M1V 2V2,301,Square feet,70,0,25792.12648,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,48074,19.0,,70NASHDENE,Storage Facilities
Nashdene Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",70 NASHDENE,Scarborough,M1V 2V2,301,Square feet,70,0,25792.12648,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,48074,19.0,,70NASHDENE,Storage Facilities
McCormick Arena,Indoor sports arenas,179 Brock Ave,Toronto,M6K 1P6,37082,Square feet,100,0,1090796.554,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,47995,29.4,,MCCOA,Indoor Sports Arena
Fire Station 312,Fire stations and associated offices and facilities,34 Yorkville Ave,Toronto,M4W 1L4,9806,Square feet,168,0,107013.445,kWh,22838.47747,Cubic meter,,,,,,,,,,,,,,,,,,,47873,35.5,,FS312,Fire Stations
Advance Traffic Management,Other,0 Various Locations,Toronto,M5V 3C6,0,Square feet,168,0,1078391.59,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,47449,,,ATMS,Traffic Signals
Don Valley Golf Course,Other,4200 Yonge St.,Toronto,M2P 1N9,8245,Square feet,100,0,93612.08496,kWh,22884.33515,Cubic meter,,,,,,,,,,,,,,,,,,,47370,40.7,,DVGC,Outdoor Recreational Facilities
Fire Station 343,Fire stations and associated offices and facilities,65 Hendrick Av,Toronto,M6G 3S3,9827,Square feet,168,0,55488.70467,kWh,23711.61819,Cubic meter,,,,,,,,,,,,,,,,,,,47256,31.1,,FS343,Fire Stations
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,65619.02267,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,47121,44.0,,14TEMP,Greenhouses
Goldhawk Park,Public libraries,295 Alton Towers Cir,Toronto,M1V 5E3,7998,Square feet,70,0,294899.6888,kWh,17948.7061,Cubic meter,,,,,,,,,,,,,,,,,,,46899,60.6,,GHP,Public Libraries
Don Valley Brickwork,Cultural facilities,550 Bayview Ave,Toronto,M4W 3X8,19407,Square feet,100,0,185586.2855,kWh,20232.60613,Cubic meter,,,,,,,,,,,,,,,,,,,46405,20.6,,DVBW,Cultural Facilities
Albert Campbell District,Public libraries,496 Birchmount Rd,Toronto,M1K 1N8,26102,Square feet,70,0,516216.8364,kWh,12470.47668,Cubic meter,,,,,,,,,,,,,,,,,,,46283,24.8,,ACD,Public Libraries
Ancaster C.C.,Community centres,41-47 Ancaster Rd,Toronto,M3K 1S7,7513,Square feet,100,0,107663.3982,kWh,21894.69857,Cubic meter,,,,,,,,,,,,,,,,,,,46118,45.1,,ANCAC,Community Centres
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,M6M 4C2,25780,Square feet,168,0,642755.5222,kWh,9369.762499,Cubic meter,,,,,,,,,,,,,,,,,,,45990,28.8,,12PD,Police Stations
Fire Station 314,Fire stations and associated offices and facilities,12 Grosvenor St,Toronto,M4Y 1A8,11937,Square feet,168,0,48280.23185,kWh,22993.28448,Cubic meter,,,,,,,,,,,,,,,,,,,45582,24.4,,FS314,Fire Stations
Elmbank Community Centre,Community centres,10 Rampart Rd,Toronto,M9V 4L9,14725,Square feet,100,0,182201.8862,kWh,19772.11107,Cubic meter,,,,,,,,,,,,,,,,,,,45386,26.5,,ELMBC,Community Centres
Pape Avenue Multiuse Building,"Administrative offices and related facilities, including municipal council chambers",126 Pape Ave,Toronto,M4M 2V8,9365,Square feet,70,0,77675.37101,kWh,22191.71518,Cubic meter,,,,,,,,,,,,,,,,,,,45360,33.3,,PAMB,Administrative Offices
Central Services Office,"Administrative offices and related facilities, including municipal council chambers",329 Chaplin Cres.,Toronto,M5N 2M9,18299,Square feet,70,0,186209.265,kWh,19636.1016,Cubic meter,,,,,,,,,,,,,,,,,,,45305,21.5,,CSO,Administrative Offices
Berner Trail C.C,Community centres,120 Berner Trail,Toronto,M1B 1B3,10204,Square feet,100,0,130007.2866,kWh,20848.63097,Cubic meter,,,,,,,,,,,,,,,,,,,45124,34.3,,BERNC,Community Centres
Harrison Pool,Indoor swimming pools,15 Stephanie St,Toronto,M5T 1B1,15263,Square feet,100,0,234827.1795,kWh,18386.90868,Cubic meter,,,,,,,,,,,,,,,,,,,45084,28.1,,HARRC,Indoor Swimming Pool
Birchmount Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",101 Ridgetop Rd,Toronto,M1P 4W9,15317,Square feet,70,0,101638.4307,kWh,21446.39394,Cubic meter,,,,,,,,,,,,,,,,,,,45006,21.4,,BMTP,Storage Facilities
