Category,Description,Address,City,Postal Code,Floor Space,Floor Space Unit,Avg Hours/Week,Annual Flow (Mega Litres),Electricity Quantity,Electricity Unit,Natural Gas Quantity,Natural Gas Unit,Fuel Oil 1 & 2 Quantity,Fuel Oil 1 & 2 Unit,Fuel Oil 4 & 6 Quantity,Fuel Oil 4 & 6 Unit,Propane Quantity,Propane Unit,Coal Quantity,Coal Unit,Wood Quantity,Wood Unit,District Heating Quantity,District Heating Unit,District Heating Renewable?,"District Heating If Yes, enter Emission Factor",District Cooling Quantity,District Cooling Unit,District Cooling Renewable?,"District Cooling If Yes, enter Emission Factor",GHG Emissions(Kg),Energy Intensity(ekWh/sqft),Energy Intensity(ekWh/Mega Litre),Building / Operation Identifier,Comments
Felstead Park,Other,60 Felstead Av Pl/12 Lane,Toronto,M1P 4N7,452,Square feet,100,0,3655.665974,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,8.1,,FELS,Outdoor Recreational Facilities
Suydam Park,Other,9 Relmar Rd,Toronto,M5P 2Y4,194,Square feet,100,0,3654.161322,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,161,18.8,,SDPS,Outdoor Recreational Facilities
45 Aberdeen Ave,Parking garages,45 Aberdeen Ave,Toronto,M4X 1A1,0,Square feet,168,0,3630.983497,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,160,,,45ABER,Parking Lots and Garages
Wadsworth Park,Other,150 Laughton Ave,Toronto,M6N 2X1,0,Square feet,100,0,3628.801212,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,160,,,LTPG,Outdoor Recreational Facilities
Leonard Linton Park,Other,135 Vanderhoof,Toronto,M4G 1P2,0,Square feet,100,0,3625.326104,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,160,,,135VAN,Outdoor Recreational Facilities
5575 Yonge St,Other,5575 Yonge St,Toronto,M2N 5S4,0,Square feet,100,0,3504.540959,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,154,,,5575YONGE,Outdoor Recreational Facilities
Avondale Park,Other,2 Everson,Toronto,M2N 7C3,0,Square feet,100,0,3492.111115,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,154,,,2EVER,Outdoor Recreational Facilities
Anniversary Park,Other,410 Parliament St,Toronto,M5A 3A1,0,Square feet,100,0,3419.561419,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,150,,,ANNP,Outdoor Recreational Facilities
Symington Park,Other,437 Perth Ave,Toronto,M6P 3Y5,0,Square feet,100,0,3362.582534,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,148,,,SYMPARK,Outdoor Recreational Facilities
8 Barkwin Dr,Other,8 Barkwin Dr,Toronto,M9V 2W1,0,Square feet,168,0,3347.823334,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,147,,,8BARK,Outdoor Recreational Facilities
253 Macpherson Ave,Parking garages,253 Macpherson Ave,Toronto,M4V 1B9,0,Square feet,168,0,3344.872232,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,147,,,253MAC,Parking Lots and Garages
7 Bartlett Ave,Parking garages,7 Bartlett Ave,Toronto,M6H 1M3,0,Square feet,168,0,3296.979315,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,145,,,7BARTL,Parking Lots and Garages
Steelcase Rd,Other,Steelcase Rd,Toronto,M5V 3C6,0,Square feet,168,0,3276.051794,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,144,,,TWSTLCASE,Water Misc Service
Coleman Park,Other,19 Coleman Ave,Toronto,M4C 1P8,226,Square feet,100,0,3250.441694,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,143,14.4,,CMP,Outdoor Recreational Facilities
18 Ossington Ave,Parking garages,18 Ossington Ave,Toronto,M6J 2Y7,6469,Square feet,168,0,3238.578351,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,142,0.5,,18OSSI,Parking Lots and Garages
Lillian Park,Other,228 Otonabee Ave,Toronto,M2M 2S9,0,Square feet,100,0,3223.8232,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,142,,,LLP,Outdoor Recreational Facilities
John Tabor Park,Other,240 John Tabor Trail,Toronto,M1B 2R6,0,Square feet,100,0,3220.327576,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,142,,,JOHN,Outdoor Recreational Facilities
Yonge & Eglinton Water Mtr 31,Other,Yonge & Eglinton,Toronto,M4P2C6,0,Square feet,168,0,3210.4065,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,141,,,YONEGL,Water Misc Service
Glendora Park,Other,201 Glendora,Toronto,M2N 2W5,0,Square feet,100,0,3178.90651,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,140,,,GLENDO,Outdoor Recreational Facilities
1119 Queen St W,Parking garages,1119 Queen St W,Toronto,M6J 1J3,7352,Square feet,168,0,3151.656316,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,139,0.4,,1119QU,Parking Lots and Garages
170 Sumach Park,Other,170 Sumach St,Toronto,M5A 0C3,0,Square feet,100,0,3148.216433,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,139,,,170SUMACH,Outdoor Recreational Facilities
77 Whitbread,Other,77 Whitbread Cres,Toronto,M3L 2A8,0,Square feet,100,0,3135.523815,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,138,,,77WHIT,Outdoor Recreational Facilities
675 Manning Ave,Parking garages,675 Manning Ave,Toronto,M6G 1L2,0,Square feet,168,0,3111.412709,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,137,,,675MAN,Parking Lots and Garages
David Crombie Park,Other,131 The Esplanade,Toronto,M1P 4N7,0,Square feet,168,0,3075.067809,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,135,,,DCBP,Outdoor Recreational Facilities
18 Ferrier Ave,Parking garages,18 Ferrier Ave,Toronto,M4K 1P7,6900,Square feet,168,0,3063.999329,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,135,0.4,,18FERR,Parking Lots and Garages
804 Carlaw Ave,Parking garages,804 Carlaw Ave,Toronto,M4K 1P7,0,Square feet,168,0,3049.792529,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,134,,,804CAR,Parking Lots and Garages
Ward's Island Sewage Pumping Station,Facilities related to the pumping of sewage,235 Cibola Ave,Toronto,M5J 2W6,0,Square feet,168,20.6450503,3045.729752,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,134,,147.5,WIPS,Sewage Pumping Facilities
8001 Finch,Other,8001 Finch,Toronto,M1B 6B2,0,Square feet,168,0,3044.696446,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,134,,,8001FI,Water Misc Service
St Clair Gardens - ele,Other,3 Prescott Ave,Toronto,M6N 3G6,0,Square feet,100,0,2981.551626,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,131,,,3PRESS,Outdoor Recreational Facilities
Jeff Healey Park,Other,1 Delroy Dr,Toronto,M8Y 1M7,0,Square feet,100,0,2931.006376,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,129,,,1DELRO,Outdoor Recreational Facilities
Ridge Park,Other,85 Ridge Road,Toronto,M3M 1C6,0,Square feet,100,0,2887.328833,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,127,,,RIDGE,Outdoor Recreational Facilities
Pine Point Park Tennis,Other,4 Conan Rd,Toronto,M9W 3S7,1755,Square feet,100,0,2868.141662,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,126,1.6,,PPP,Outdoor Recreational Facilities
Ruddington Park,Other,65 Ruddington Dr,Toronto,M2K 2X8,0,Square feet,100,0,2863.776,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,126,,,RUDP,Outdoor Recreational Facilities
18 Applebaum,Other,18 Applebaum Terrace,Toronto,M3J 0E7,0,Square feet,100,0,2856.843402,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,126,,,18APPLE,Outdoor Recreational Facilities
Dell Park,Other,50 Dell Park Ave,Toronto,M6B 2T6,0,Square feet,100,0,2798.04107,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,123,,,DELL,Outdoor Recreational Facilities
Hideaway Park,Other,1 Audley Av Rr,Toronto,M4M 1P5,194,Square feet,100,0,2758.620092,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,121,14.2,,HDWP,Outdoor Recreational Facilities
Perth Ave Square,Other,437 Perth Av,Toronto,M6P 4G7,0,Square feet,100,0,2741.752555,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,121,,,PASQ,Outdoor Recreational Facilities
Geary Ave Parkette,Other,160 Geary Av,Toronto,M6H 2B3,0,Square feet,100,0,2741.751847,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,121,,,GRAP,Outdoor Recreational Facilities
Dundas St Parkette,Other,158 Boulton Ave,Toronto,M4M 2J4,0,Square feet,100,0,2741.750637,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,121,,,DDSP,Outdoor Recreational Facilities
Gzowski Monument,Cultural facilities,0 Lake Shore Blvd W Near Gzowsk,Toronto,M6S 5A3,0,Square feet,100,0,2733.630888,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,120,,,GZOW,Cultural Facilities
Oakdale VIllage Park,Other,88 fred young dr,North York,M3L 0A3,0,Square feet,100,0,2715.500533,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,119,,,OAKVILLPK,Outdoor Recreational Facilities
Danforth Avenue Parkettle,Other,1549 Danforth Ave,Toronto,M4J 1N4,0,Square feet,100,0,2714.026062,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,119,,,1549DA,Outdoor Recreational Facilities
Greenfield - Longmore Lands,Other,291 Greenfield  Ave,Toronto,M2N 3E4,0,Square feet,168,0,2708.874744,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,119,,,291GRE,Outdoor Recreational Facilities
31 Langford Ave,Parking garages,31 Langford Ave,Toronto,M4J 1L6,0,Square feet,168,0,2675.730074,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,118,,,31LANG,Parking Lots and Garages
Abbotsford Park,Other,79 Ellerslie Ave,Toronto,M2N 2P7,0,Square feet,100,0,2666.859391,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,117,,,ABFP,Outdoor Recreational Facilities
Zooview Park,Other,50 Hedge End Rd.,Toronto,M1B 5Z4,0,Square feet,100,0,2664.383867,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,117,,,ZOOVIE,Outdoor Recreational Facilities
Martin Grove Gardens Park,Other,31 Lavington Dr,Toronto,M9R 2H9,0,Square feet,100,0,2608.205529,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,115,,,31LAVI,Outdoor Recreational Facilities
Old Orchard Park,Other,450 Deloraine Ave,Toronto,M5M 2B8,0,Square feet,100,0,2597.511554,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,114,,,450DELORAINEAVE,Outdoor Recreational Facilities
268 Rhodes Ave,Parking garages,268 Rhodes Ave,Toronto,M4L 2A3,0,Square feet,168,0,2568.931873,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,113,,,268RHO,Parking Lots and Garages
Highland Creek Bwlng,Other,3400 Ellesmere Rd,Toronto,M1E 2P9,0,Square feet,100,0,2475.719645,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,109,,,HCB,Outdoor Recreational Facilities
Lytton Park Bowling Club,Other,200 Lytton Blvd,Toronto,M4R 1L4,3229,Square feet,100,0,2470.257045,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,109,0.8,,LPLB,Outdoor Recreational Facilities
Dallington Park 32 Glentworth,Other,Dallington Park 32 Glentworth,North York,M2J 2E4,0,Square feet,100,0,2389.507351,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,105,,,DALLP,Outdoor Recreational Facilities
Oakcrest Park,Other,20 Oakcrest Av /Park,Toronto,M4C 1B4,183,Square feet,100,0,2376.804889,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,105,13.0,,OKCP,Outdoor Recreational Facilities
Beaty Ave Parkette,Other,66 Beaty Ave,Toronto,M6K 3B4,0,Square feet,100,0,2284.794212,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,101,,,BTAP,Outdoor Recreational Facilities
Huron St Plaground,Other,129 Lowther Av Huron Pgd,Toronto,M5R 2R3,0,Square feet,100,0,2284.7938,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,101,,,HSPG,Outdoor Recreational Facilities
The Mission Ground,Other,399 Merton St,Toronto,M4S 1B4,0,Square feet,100,0,2284.793568,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,101,,,TMSG,Outdoor Recreational Facilities
9 Salem Ave,Parking garages,9 Salem Ave,Toronto,M6H 3S9,0,Square feet,168,0,2270.855805,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,100,,,9SALEM,Parking Lots and Garages
Lora Hill Park,Other,27 Fernalroy Blvd,Toronto,M8Z 3W1,0,Square feet,100,0,2263.863978,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,100,,,27FERN,Outdoor Recreational Facilities
Winchester Park North,Other,512 Ontario St,Toronto,M4X 1M7,0,Square feet,100,0,2227.212683,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,98,,,WINC,Outdoor Recreational Facilities
Greenfield Park,Other,10 Wilmar Rd,Toronto,M9B 3R7,0,Square feet,168,0,2168.8452,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,95,,,GREEN,Outdoor Recreational Facilities
912 Eglinton Ave W,Parking garages,912 Eglinton Ave W,Toronto,M6C 2C5,0,Square feet,168,0,2151.098786,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,95,,,912EGL,Parking Lots and Garages
Riverside Sewage Pumping Station,Facilities related to the pumping of sewage,20 Riverside Cr,Toronto,M6S 1B6,0,Square feet,168,14.13153148,2129.069303,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,94,,150.7,LMMP,Sewage Pumping Facilities
833 Royal York,Street lighting,833 Royal York,Toronto,M8Y 2V1,0,Square feet,70,0,2089.283735,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,92,,,833ROYALYORK,Streetlighting
5341 Dundas St W,Other,5341 Dundas St W,Toronto,M9B 1B1,1862,Square feet,100,0,2081.831382,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,92,1.1,,5341DUN,Leasing
Taddle Creek Park,Other,40 Bedford Rd,Toronto,M5R,0,Square feet,100,0,2020.365999,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,89,,,TADDLE,Outdoor Recreational Facilities
Eglinton Ave W,Parking garages,Eglinton Ave W,Toronto,M6C 3H1,0,Square feet,168,0,2016.942277,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,89,,,EGLIPA,Parking Lots and Garages
La Rose Park,Other,65 La Rose Ave,Toronto,M9P 1B1,0,Square feet,100,0,2013.536314,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,89,,,LAROSE,Outdoor Recreational Facilities
Charlottetown Park,Other,71 Charlottetown Blvd,Toronto,M1C 2C7,0,Square feet,100,0,2004.6432,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,88,,,CTP,Outdoor Recreational Facilities
Morse St Playground,Other,40 Morse St,Toronto,M4M 2P6,0,Square feet,100,0,1892.037243,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,83,,,MSPG,Outdoor Recreational Facilities
708 Millwood Rd,Parking garages,708 Millwood Rd,Toronto,M4G 3B4,0,Square feet,168,0,1845.641534,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,81,,,708MIL,Parking Lots and Garages
90 Eaton Ave,Parking garages,90 Eaton Ave,Toronto,M4J 1L2,0,Square feet,168,0,1843.114959,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,81,,,90EATO,Parking Lots and Garages
